region,trial,m,m_from_filename,uncovered_area,overlap_percentage,ocr_success,filename,filepath
1,5,29,29,8.54055,8.21,True,m_29_trial_5.png,Results/region_1/trial_5/m_29_trial_5.png
1,5,30,30,5.196292,10.11,True,m_30_trial_5.png,Results/region_1/trial_5/m_30_trial_5.png
1,5,31,31,3.578686,10.29,True,m_31_trial_5.png,Results/region_1/trial_5/m_31_trial_5.png
1,5,32,32,2.343011,11.74,True,m_32_trial_5.png,Results/region_1/trial_5/m_32_trial_5.png
1,6,22,22,36.421763,4.81,True,m_22_trial_6.png,Results/region_1/trial_6/m_22_trial_6.png
1,6,23,23,28.672461,5.34,True,m_23_trial_6.png,Results/region_1/trial_6/m_23_trial_6.png
1,6,24,24,22.966497,5.79,True,m_24_trial_6.png,Results/region_1/trial_6/m_24_trial_6.png
1,6,25,25,18.013073,6.24,True,m_25_trial_6.png,Results/region_1/trial_6/m_25_trial_6.png
1,6,26,26,15.495054,6.25,True,m_26_trial_6.png,Results/region_1/trial_6/m_26_trial_6.png
1,6,27,27,11.84753,6.7,True,m_27_trial_6.png,Results/region_1/trial_6/m_27_trial_6.png
1,6,28,28,9.674628,7.12,True,m_28_trial_6.png,Results/region_1/trial_6/m_28_trial_6.png
1,6,29,29,7.717305,8.41,True,m_29_trial_6.png,Results/region_1/trial_6/m_29_trial_6.png
1,6,30,30,5.185133,9.93,True,m_30_trial_6.png,Results/region_1/trial_6/m_30_trial_6.png
1,6,31,31,3.625448,11.06,True,m_31_trial_6.png,Results/region_1/trial_6/m_31_trial_6.png
1,6,32,32,2.488357,12.15,True,m_32_trial_6.png,Results/region_1/trial_6/m_32_trial_6.png
1,7,22,22,36.415967,5.09,True,m_22_trial_7.png,Results/region_1/trial_7/m_22_trial_7.png
1,7,23,23,28.707951,5.29,True,m_23_trial_7.png,Results/region_1/trial_7/m_23_trial_7.png
1,7,24,24,23.410007,5.85,True,m_24_trial_7.png,Results/region_1/trial_7/m_24_trial_7.png
1,7,25,25,18.035401,6.31,True,m_25_trial_7.png,Results/region_1/trial_7/m_25_trial_7.png
1,7,26,26,14.399925,6.77,True,m_26_trial_7.png,Results/region_1/trial_7/m_26_trial_7.png
1,7,27,27,11.842145,6.67,True,m_27_trial_7.png,Results/region_1/trial_7/m_27_trial_7.png
1,7,28,28,9.663163,7.11,True,m_28_trial_7.png,Results/region_1/trial_7/m_28_trial_7.png
1,7,29,29,7.056969,8.98,True,m_29_trial_7.png,Results/region_1/trial_7/m_29_trial_7.png
1,7,30,30,5.373492,9.58,True,m_30_trial_7.png,Results/region_1/trial_7/m_30_trial_7.png
1,7,31,31,3.7024,11.43,True,m_31_trial_7.png,Results/region_1/trial_7/m_31_trial_7.png
1,7,32,32,2.555919,12.86,True,m_32_trial_7.png,Results/region_1/trial_7/m_32_trial_7.png
1,8,22,22,36.425934,4.98,True,m_22_trial_8.png,Results/region_1/trial_8/m_22_trial_8.png
1,8,23,23,28.694719,5.3,True,m_23_trial_8.png,Results/region_1/trial_8/m_23_trial_8.png
1,8,24,24,22.954409,5.79,True,m_24_trial_8.png,Results/region_1/trial_8/m_24_trial_8.png
1,8,25,25,18.029146,6.28,True,m_25_trial_8.png,Results/region_1/trial_8/m_25_trial_8.png
1,8,26,26,14.401189,6.8,True,m_26_trial_8.png,Results/region_1/trial_8/m_26_trial_8.png
1,8,27,27,11.847365,6.69,True,m_27_trial_8.png,Results/region_1/trial_8/m_27_trial_8.png
1,8,28,28,9.364258,7.86,True,m_28_trial_8.png,Results/region_1/trial_8/m_28_trial_8.png
1,8,29,29,7.622021,9.46,True,m_29_trial_8.png,Results/region_1/trial_8/m_29_trial_8.png
1,8,30,30,5.824775,10.69,True,m_30_trial_8.png,Results/region_1/trial_8/m_30_trial_8.png
1,8,31,31,4.436864,12.42,True,m_31_trial_8.png,Results/region_1/trial_8/m_31_trial_8.png
1,8,32,32,3.196466,13.93,True,m_32_trial_8.png,Results/region_1/trial_8/m_32_trial_8.png
1,8,33,33,2.032991,14.88,True,m_33_trial_8.png,Results/region_1/trial_8/m_33_trial_8.png
1,9,22,22,36.425934,4.98,True,m_22_trial_9.png,Results/region_1/trial_9/m_22_trial_9.png
1,9,23,23,28.696385,5.37,True,m_23_trial_9.png,Results/region_1/trial_9/m_23_trial_9.png
1,9,24,24,23.424337,5.82,True,m_24_trial_9.png,Results/region_1/trial_9/m_24_trial_9.png
1,9,25,25,18.021205,6.33,True,m_25_trial_9.png,Results/region_1/trial_9/m_25_trial_9.png
1,9,26,26,14.385989,6.77,True,m_26_trial_9.png,Results/region_1/trial_9/m_26_trial_9.png
1,9,27,27,11.836364,6.63,True,m_27_trial_9.png,Results/region_1/trial_9/m_27_trial_9.png
1,9,28,28,9.664866,7.13,True,m_28_trial_9.png,Results/region_1/trial_9/m_28_trial_9.png
1,9,29,29,7.69555,8.33,True,m_29_trial_9.png,Results/region_1/trial_9/m_29_trial_9.png
1,9,30,30,5.019097,9.58,True,m_30_trial_9.png,Results/region_1/trial_9/m_30_trial_9.png
1,9,31,31,3.559639,10.37,True,m_31_trial_9.png,Results/region_1/trial_9/m_31_trial_9.png
1,9,32,32,2.304876,11.18,True,m_32_trial_9.png,Results/region_1/trial_9/m_32_trial_9.png
2,0,74,74,72.311571,5.01,True,m_74_trial_0.png,Results/region_2/trial_0/m_74_trial_0.png
2,0,75,75,66.310346,5.33,True,m_75_trial_0.png,Results/region_2/trial_0/m_75_trial_0.png
2,0,76,76,58.673343,5.58,True,m_76_trial_0.png,Results/region_2/trial_0/m_76_trial_0.png
2,0,77,77,52.146426,6.02,True,m_77_trial_0.png,Results/region_2/trial_0/m_77_trial_0.png
2,0,78,78,47.392763,6.65,True,m_78_trial_0.png,Results/region_2/trial_0/m_78_trial_0.png
2,0,79,79,42.907162,6.96,True,m_79_trial_0.png,Results/region_2/trial_0/m_79_trial_0.png
2,0,80,80,36.856109,7.39,True,m_80_trial_0.png,Results/region_2/trial_0/m_80_trial_0.png
