REGION 0 - SUCCESSFUL EXTRACTIONS (140 images):
Trial | M  | Uncovered Area | Overlap % | Filename
    5 | 80 |     36.645905 |     7.39% | m_80_trial_5.png
    5 | 81 |     33.192116 |     7.95% | m_81_trial_5.png
    5 | 82 |     29.584904 |     8.46% | m_82_trial_5.png
    5 | 83 |     26.137812 |     9.03% | m_83_trial_5.png
    5 | 84 |     23.525433 |     9.86% | m_84_trial_5.png
    5 | 85 |     20.446180 |     9.81% | m_85_trial_5.png
    5 | 86 |     18.076052 |    10.07% | m_86_trial_5.png
    5 | 87 |     15.608379 |    10.59% | m_87_trial_5.png
    5 | 88 |     14.160315 |    11.38% | m_88_trial_5.png
    5 | 89 |     12.605255 |    12.04% | m_89_trial_5.png
    5 | 90 |     10.978531 |    12.70% | m_90_trial_5.png
    5 | 91 |      9.515147 |    13.24% | m_91_trial_5.png
    5 | 92 |      7.483747 |    14.06% | m_92_trial_5.png
    6 | 74 |     72.339498 |     5.01% | m_74_trial_6.png
    6 | 75 |     65.790407 |     5.51% | m_75_trial_6.png
    6 | 76 |     58.313978 |     5.80% | m_76_trial_6.png
    6 | 77 |     52.253054 |     6.20% | m_77_trial_6.png
    6 | 78 |     47.355169 |     6.74% | m_78_trial_6.png
    6 | 79 |     42.870220 |     7.19% | m_79_trial_6.png
    6 | 80 |     39.104741 |     7.64% | m_80_trial_6.png
    6 | 81 |     35.518193 |     8.10% | m_81_trial_6.png
    6 | 82 |     29.359965 |     8.33% | m_82_trial_6.png
    6 | 83 |     26.265627 |     9.02% | m_83_trial_6.png
    6 | 84 |     23.545256 |     9.71% | m_84_trial_6.png
    6 | 85 |     21.143013 |    10.04% | m_85_trial_6.png
    6 | 86 |     19.630842 |    11.04% | m_86_trial_6.png
    6 | 87 |     17.648721 |    11.65% | m_87_trial_6.png
    6 | 88 |     15.624970 |    12.30% | m_88_trial_6.png
    6 | 89 |     13.109953 |    12.64% | m_89_trial_6.png
    6 | 90 |     11.819145 |    13.31% | m_90_trial_6.png
    6 | 91 |      9.784358 |    13.73% | m_91_trial_6.png
    6 | 92 |      7.798518 |    13.80% | m_92_trial_6.png
    7 | 74 |     72.315585 |     5.04% | m_74_trial_7.png
    7 | 75 |     66.360035 |     5.37% | m_75_trial_7.png
    7 | 76 |     59.061144 |     5.65% | m_76_trial_7.png
    7 | 77 |     52.100359 |     6.08% | m_77_trial_7.png
    7 | 78 |     45.716236 |     6.37% | m_78_trial_7.png
    7 | 79 |     40.919523 |     6.89% | m_79_trial_7.png
    7 | 80 |     36.767421 |     7.33% | m_80_trial_7.png
    7 | 81 |     32.908489 |     7.81% | m_81_trial_7.png
    7 | 82 |     29.543972 |     8.33% | m_82_trial_7.png
    7 | 83 |     26.260771 |     8.85% | m_83_trial_7.png
    7 | 84 |     23.609368 |     9.14% | m_84_trial_7.png
    7 | 85 |     21.146481 |     9.86% | m_85_trial_7.png
    7 | 86 |     18.899765 |    10.12% | m_86_trial_7.png
    7 | 87 |     16.682713 |    10.66% | m_87_trial_7.png
    7 | 88 |     15.008872 |    11.43% | m_88_trial_7.png
    7 | 89 |     12.877814 |    12.25% | m_89_trial_7.png
    7 | 90 |     10.817505 |    12.98% | m_90_trial_7.png
    7 | 91 |      9.095101 |    13.50% | m_91_trial_7.png
    8 | 74 |     72.204409 |     5.00% | m_74_trial_8.png
    8 | 75 |     64.816045 |     5.33% | m_75_trial_8.png
    8 | 76 |     57.988850 |     5.75% | m_76_trial_8.png
    8 | 77 |     52.059567 |     6.03% | m_77_trial_8.png
    8 | 78 |     45.887446 |     6.40% | m_78_trial_8.png
    8 | 79 |     40.975832 |     6.90% | m_79_trial_8.png
    8 | 80 |     36.747000 |     7.35% | m_80_trial_8.png
    8 | 81 |     33.411927 |     7.91% | m_81_trial_8.png
    8 | 82 |     29.580583 |     8.39% | m_82_trial_8.png
    8 | 83 |     26.229193 |     9.02% | m_83_trial_8.png
    8 | 84 |     23.643729 |     9.66% | m_84_trial_8.png
    8 | 85 |     21.775852 |    10.36% | m_85_trial_8.png
    8 | 86 |     19.626539 |    10.85% | m_86_trial_8.png
    8 | 87 |     17.615429 |    11.30% | m_87_trial_8.png
    8 | 88 |     15.585614 |    11.89% | m_88_trial_8.png
    8 | 89 |     13.532828 |    12.12% | m_89_trial_8.png
    8 | 90 |     11.857300 |    12.68% | m_90_trial_8.png
    8 | 91 |     10.674943 |    13.48% | m_91_trial_8.png
    8 | 92 |      9.055461 |    14.09% | m_92_trial_8.png
    9 | 74 |     72.328295 |     4.94% | m_74_trial_9.png
